Name,,Voted By,Inducted As,Votes,% of Ballots
Derek Jeter,1974-Living,BBWAA,Player,396,99.70%
Marvin Miller,1917-2012,Veterans,Pioneer/Executive,,
Ted Simmons,1949-Living,Veterans,Player,,
Larry Walker,1966-Living,BBWAA,Player,304,76.60%
Harold Baines,1959-Living,Veterans,Player,,
Roy Halladay,1977-2017,BBWAA,Player,363,85.40%
Edgar Martinez,1963-Living,BBWAA,Player,363,85.40%
Mike Mussina,1968-Living,BBWAA,Player,326,76.70%
Mariano Rivera,1969-Living,BBWAA,Player,425,100.00%
Lee Smith,1957-Living,Veterans,Player,,
Vladimir Guerrero,1975-Living,BBWAA,Player,392,92.90%
Trevor Hoffman,1967-Living,BBWAA,Player,337,79.90%
Chipper Jones,1972-Living,BBWAA,Player,410,97.20%
Jack Morris,1955-Living,Veterans,Player,,
Jim Thome,1970-Living,BBWAA,Player,379,89.80%
Alan Trammell,1958-Living,Veterans,Player,,
Jeff Bagwell,1968-Living,BBWAA,Player,381,86.20%
Tim Raines,1959-Living,BBWAA,Player,380,86.00%
Ivan Rodriguez,1971-Living,BBWAA,Player,336,76.00%
John Schuerholz,1940-Living,Veterans,Pioneer/Executive,,
Bud Selig,1934-Living,Veterans,Pioneer/Executive,,
Ken Griffey Jr.,1969-Living,BBWAA,Player,437,99.30%
Mike Piazza,1968-Living,BBWAA,Player,365,83.00%
Craig Biggio,1965-Living,BBWAA,Player,454,82.70%
Randy Johnson,1963-Living,BBWAA,Player,534,97.30%
Pedro Martinez,1971-Living,BBWAA,Player,500,91.10%
John Smoltz,1967-Living,BBWAA,Player,455,82.90%
Bobby Cox,1941-Living,Veterans,Manager,,
Tom Glavine,1966-Living,BBWAA,Player,525,91.90%
Tony La Russa,1944-Living,Veterans,Manager,,
Greg Maddux,1966-Living,BBWAA,Player,555,97.20%
Frank Thomas,1968-Living,BBWAA,Player,478,83.70%
Joe Torre,1940-Living,Veterans,Manager,,
Hank O'Day,1859-1935,Veterans,Umpire,,
Jacob Ruppert,1867-1939,Veterans,Pioneer/Executive,,
Deacon White,1847-1939,Veterans,Player,,
Barry Larkin,1964-Living,BBWAA,Player,495,86.40%
Ron Santo,1940-2010,Veterans,Player,,
Roberto Alomar,1968-Living,BBWAA,Player,523,90.00%
Bert Blyleven,1951-Living,BBWAA,Player,463,79.70%
Pat Gillick,1937-Living,Veterans,Pioneer/Executive,,
Andre Dawson,1954-Living,BBWAA,Player,420,77.90%
Doug Harvey,1930-2018,Veterans,Umpire,,
Whitey Herzog,1931-Living,Veterans,Manager,,
Joe Gordon,1915-1978,Veterans,Player,,
Rickey Henderson,1958-Living,BBWAA,Player,511,94.80%
Jim Rice,1953-Living,BBWAA,Player,412,76.40%
Barney Dreyfuss,1865-1932,Veterans,Pioneer/Executive,,
Rich Gossage,1951-Living,BBWAA,Player,466,85.80%
Bowie Kuhn,1926-2007,Veterans,Pioneer/Executive,,
Walter O'Malley,1903-1979,Veterans,Pioneer/Executive,,
Billy Southworth,1893-1969,Veterans,Manager,,
Dick Williams,1929-2011,Veterans,Manager,,
Tony Gwynn,1960-2014,BBWAA,Player,532,97.60%
Cal Ripken Jr.,1960-Living,BBWAA,Player,537,98.50%
